071004-F-2184C-001,80,0.0
October,82,0.0
2007,96,0.0
Schoo!,94,0.0
Supplies,95,0.0
Drop,95,0.0
Soldicrs,91,0.0
from,95,0.0
Troop,93,0.0
"B,",68,0.0
3-1,92,0.0
"Cavalry,",84,0.0
3rd,95,0.0
"Brigade,",95,0.0
3rd,95,0.0
Infantry,96,0.0
Division,96,0.0
deliver,95,0.0
school,70,0.0
supplies,95,0.0
and,96,0.0
spend,96,0.0
  ,95,0.0
"PAQ,",87,0.0
"MNCI,",89,0.0
DSN:,77,0.0
312-822-1111,87,0.0
,95,0.0
071004-F-2184C-001,80,33.366700033366705
October,82,33.366700033366705
2007,96,33.366700033366705
Soldicrs,92,33.366700033366705
from,95,33.366700033366705
Troop,93,33.366700033366705
"B,",68,33.366700033366705
3-1,91,33.366700033366705
"Cavalry,",84,33.366700033366705
3rd,95,33.366700033366705
"Brigade,",95,33.366700033366705
3rd,94,33.366700033366705
Infantry,96,33.366700033366705
Division,96,33.366700033366705
deliver,95,33.366700033366705
school,70,33.366700033366705
supplies,95,33.366700033366705
and,96,33.366700033366705
spend,96,33.366700033366705
  ,95,33.366700033366705
"PAQ,",87,33.366700033366705
"MNCI,",90,33.366700033366705
DSN:,77,33.366700033366705
312-822-1111,87,33.366700033366705
,95,33.366700033366705
071004-F-2184C-001,80,66.73340006673341
October,82,66.73340006673341
2007,96,66.73340006673341
Soldicrs,92,66.73340006673341
from,95,66.73340006673341
Troop,93,66.73340006673341
"B,",68,66.73340006673341
3-1,91,66.73340006673341
"Cavalry,",84,66.73340006673341
3rd,95,66.73340006673341
"Brigade,",95,66.73340006673341
3rd,94,66.73340006673341
Infantry,96,66.73340006673341
Division,96,66.73340006673341
deliver,95,66.73340006673341
school,70,66.73340006673341
supplies,95,66.73340006673341
and,96,66.73340006673341
spend,96,66.73340006673341
  ,95,66.73340006673341
"PAQ,",87,66.73340006673341
"MNCI,",90,66.73340006673341
DSN:,77,66.73340006673341
312-822-1111,87,66.73340006673341
,95,66.73340006673341
071004-F-2184C-001,80,100.10010010010011
October,82,100.10010010010011
2007,96,100.10010010010011
Soldicrs,92,100.10010010010011
from,95,100.10010010010011
Troop,93,100.10010010010011
"B,",68,100.10010010010011
3-1,91,100.10010010010011
"Cavalry,",84,100.10010010010011
3rd,95,100.10010010010011
"Brigade,",95,100.10010010010011
3rd,94,100.10010010010011
Infantry,96,100.10010010010011
Division,96,100.10010010010011
deliver,95,100.10010010010011
school,70,100.10010010010011
supplies,95,100.10010010010011
and,96,100.10010010010011
spend,96,100.10010010010011
  ,95,100.10010010010011
"PAQ,",87,100.10010010010011
"MNCI,",90,100.10010010010011
DSN:,77,100.10010010010011
312-822-1111,87,100.10010010010011
,95,100.10010010010011
071004-F-2184C-001,80,133.46680013346682
October,82,133.46680013346682
2007,96,133.46680013346682
Soldicrs,92,133.46680013346682
from,95,133.46680013346682
Troop,93,133.46680013346682
"B,",68,133.46680013346682
3-1,91,133.46680013346682
"Cavalry,",84,133.46680013346682
3rd,95,133.46680013346682
"Brigade,",95,133.46680013346682
3rd,94,133.46680013346682
Infantry,96,133.46680013346682
Division,96,133.46680013346682
deliver,95,133.46680013346682
school,70,133.46680013346682
supplies,95,133.46680013346682
and,96,133.46680013346682
spend,96,133.46680013346682
  ,95,133.46680013346682
"PAQ,",87,133.46680013346682
"MNCI,",90,133.46680013346682
DSN:,77,133.46680013346682
312-822-1111,87,133.46680013346682
,95,133.46680013346682
071004-F-2184C-001,80,166.83350016683352
October,82,166.83350016683352
2007,96,166.83350016683352
Soldicrs,92,166.83350016683352
from,95,166.83350016683352
Troop,93,166.83350016683352
"B,",68,166.83350016683352
3-1,91,166.83350016683352
"Cavalry,",84,166.83350016683352
3rd,95,166.83350016683352
"Brigade,",95,166.83350016683352
3rd,94,166.83350016683352
Infantry,96,166.83350016683352
Division,96,166.83350016683352
deliver,95,166.83350016683352
school,70,166.83350016683352
supplies,95,166.83350016683352
and,96,166.83350016683352
spend,96,166.83350016683352
  ,95,166.83350016683352
"PAQ,",87,166.83350016683352
"MNCI,",90,166.83350016683352
DSN:,77,166.83350016683352
312-822-1111,87,166.83350016683352
,95,166.83350016683352
071004-F-2184C-001,80,200.20020020020021
October,82,200.20020020020021
2007,96,200.20020020020021
Soldicrs,92,200.20020020020021
from,95,200.20020020020021
Troop,93,200.20020020020021
"B,",68,200.20020020020021
3-1,91,200.20020020020021
"Cavalry,",84,200.20020020020021
3rd,95,200.20020020020021
"Brigade,",95,200.20020020020021
3rd,94,200.20020020020021
Infantry,96,200.20020020020021
Division,96,200.20020020020021
deliver,95,200.20020020020021
school,70,200.20020020020021
supplies,95,200.20020020020021
and,96,200.20020020020021
spend,96,200.20020020020021
  ,95,200.20020020020021
"PAQ,",87,200.20020020020021
"MNCI,",90,200.20020020020021
DSN:,77,200.20020020020021
312-822-1111,87,200.20020020020021
,95,200.20020020020021
071004-F-2184C-001,80,233.5669002335669
October,82,233.5669002335669
2007,96,233.5669002335669
Soldicrs,92,233.5669002335669
from,95,233.5669002335669
Troop,93,233.5669002335669
"B,",68,233.5669002335669
3-1,91,233.5669002335669
"Cavalry,",84,233.5669002335669
3rd,95,233.5669002335669
"Brigade,",95,233.5669002335669
3rd,94,233.5669002335669
Infantry,96,233.5669002335669
Division,96,233.5669002335669
deliver,95,233.5669002335669
school,70,233.5669002335669
supplies,95,233.5669002335669
and,96,233.5669002335669
spend,96,233.5669002335669
  ,95,233.5669002335669
"PAQ,",87,233.5669002335669
"MNCI,",90,233.5669002335669
